x,y,t
0.7071067811865475,0.2928932188134524,0.0
0.7055741428790695,0.29136389528865636,0.025
0.7009682500411691,0.28680752076720484,0.05
0.6932585756010021,0.2793110606123682,0.075
0.6823924145376223,0.2690139586958491,0.1
0.6682995836336908,0.256107758801696,0.125
0.6508987827945529,0.24083547596283883,0.15
0.6301051759997387,0.22349020149238408,0.175
0.6058392877149346,0.20441294790509523,0.2
0.5780370541319931,0.18398948288002615,0.225
0.5466599111022539,0.16264527134930684,0.25
0.5117049879142165,0.14083877802608458,0.275
0.47321581674616237,0.11905346882954215,0.3
0.4312897432512375,0.09778652339577543,0.325
0.3860850166811775,0.07753679753916742,0.35
0.3378262886914595,0.05879152220724515,0.375
0.2868053489505732,0.042011121247569005,0.4
0.2333817664131772,0.02761481340681393,0.425
0.17797647867965072,0.015965258216564915,0.45
0.12106019661508702,0.007354832381924914,0.475
0.06314491783065716,0.0019956315966550564,0.5
0.004773462539083015,1.1393037206652856e-5,0.525
-0.05349675415364186,0.0014319766310234572,0.55
-0.1111149731449575,0.006192441796202042,0.575
-0.16754731651305912,0.014135964379837662,0.6
-0.2222970271034248,0.025021009589960896,0.625
-0.2749142199176415,0.038531242479988514,0.65
-0.3250030416345018,0.05428702931157681,0.675
-0.3722279813004428,0.071858669201184,0.7
-0.41632407778064945,0.09078370985771944,0.725
-0.45709010707017983,0.11057960782396525,0.75
-0.4943887963404881,0.1307591139085763,0.775
-0.5281411959955676,0.15084343193238414,0.8
-0.5583187362837444,0.17037346431389822,0.825
-0.5849342049452815,0.18891925439877966,0.85
-0.608032745281321,0.20608805232213556,0.875
-0.6276826529541775,0.22153067678911997,0.9
-0.6439597494066608,0.23494062900706147,0.925
-0.6569430941564396,0.24605983590197067,0.95
-0.6667081775810149,0.25468113807136084,0.975
-0.6733207439564649,0.2606494905946757,1.0
-0.676832069782565,0.26386254726861713,1.025
-0.6772758248619255,0.2642707990995611,1.05
-0.6746665902746958,0.26187738690166396,1.075
-0.6689969280336308,0.25673483178507206,1.1
-0.6602339016537648,0.24893995239591737,1.125
-0.6483299358659155,0.2386404960466455,1.15
-0.6332273425138855,0.22603415276072913,1.175
-0.6148642235865279,0.21136701403419844,1.2
-0.5931815727325025,0.19493129375773477,1.225
-0.5681313145520577,0.1770620865306114,1.25
-0.539684980828737,0.15813295499355373,1.275
-0.5078405737532526,0.13854892672307428,1.3
-0.47263245396020737,0.11874035411602302,1.325
-0.43414237722877663,0.09915573138630307,1.35
-0.3925013760174646,0.0802485825917979,1.375
-0.34789511300136255,0.06246653907726085,1.4
-0.30056749787231324,0.04623945393889517,1.425
-0.25082217528637446,0.03196682061790301,1.45
-0.19902165755092885,0.02000490826449508,1.475
-0.1455839871169532,0.010654103614347266,1.5
-0.09097420056501695,0.004146750353469009,1.525
-0.03566995673646747,0.0006363753936114991,1.55
0.019819743682324902,0.0001964304122699101,1.575
0.07498293492343724,0.002815182892224599,1.6
0.1293224523623844,0.008397406560985865,1.625
0.1823661507363445,0.01676931136909232,1.65
0.23367588050753832,0.027685450654456822,1.675
0.2828548184644492,0.040837265282140156,1.7
0.329552851381761,0.05586287111132482,1.725
0.37346982187568034,0.07235767013996841,1.75
0.4143705999182083,0.08989176142426658,1.775
0.4520943699330576,0.10802988801483282,1.8
0.48651952503774176,0.12633029596016654,1.825
0.5175746738032518,0.1443619590986751,1.85
0.5452316605630944,0.16171458540684924,1.875
0.5694974034221976,0.17800686894878814,1.9
0.590405409892755,0.19289315950775887,1.925
0.6080073990660206,0.20606864107721956,1.95
0.6223654118691511,0.21727316763193683,1.975
0.6335464778873919,0.2262953662045959,2.0
0.6416108841742483,0.2329697050903795,2.025
0.6465981180226432,0.23716917093658574,2.05
0.6485356771763687,0.23881574147294093,2.075
0.6474373703565584,0.23788134029812347,2.1
0.6433024893003698,0.23438788720400483,2.125
0.6361165152142991,0.22840698611792998,2.15
0.6258533321846294,0.22005922879144468,2.175
0.6124788725521046,0.20951304205742727,2.2
0.5959560705159287,0.19698296281136507,2.225
0.576250949833437,0.18272719192667275,2.25
0.5533315425105523,0.16703889402752248,2.275
0.5271710852755433,0.15024083008807376,2.3
0.49777372500479095,0.1326930654636418,2.325
0.46517384914902765,0.11478065426252815,2.35
0.42944325957802343,0.09690615836281868,2.375
0.3906977600867298,0.07948098321478869,2.4
0.3491026285335118,0.06291550287554493,2.425
0.304876608694435,0.04760814079971243,2.45
0.2582940992872368,0.03393366776737583,2.475
0.20968183944858032,0.022230330698758127,2.5
0.15940068203928445,0.01278602999886036,2.525
0.10786656455937521,0.005834619265910002,2.55
0.05552157140155233,0.0015425121172647493,2.575
0.002821527749785724,3.9805173436269214e-6,2.6
-0.049772874081463324,0.0012394375999467133,2.625
-0.1018051738014375,0.005195644064995508,2.65
-0.15283201859186127,0.011747818574055935,2.675
-0.2024313844451736,0.02070355122077039,2.7
-0.2502097514645482,0.03180834527865872,2.725
-0.29580789664195467,0.04475255128094546,2.75
-0.3389051658212511,0.05917945995016127,2.775
-0.37926467704484357,0.07471177206987523,2.8
-0.4167110153739622,0.09096098561942823,2.825
-0.4510968608783065,0.10752500197163073,2.85
-0.48232297809559616,0.12400653837999731,2.875
-0.510332261313747,0.14002268456522793,2.9
-0.5351029118037902,0.15521311931404558,2.925
-0.5566411503829567,0.16924695023109382,2.95
-0.5749738510918943,0.1818282145169291,2.975
-0.5901414486374646,0.1927001358850141,3.0
-0.6021939839230034,0.20165019839237042,3.025
-0.6111844828870612,0.20851182707631333,3.05
-0.6171431147498977,0.213149076433919,3.075
